Name;Kategorie;Funktion;Erläuterung
Datenzündsatz;Hackingprogramme;Offensiv & Kampf;Dieses Programm überwacht eine Datei auf die Anzahl an Zugriffen darauf und legt eine Datenbombe, die hochgeht, wenn eine bestimmte Anzahl erreicht ist. Um dieses Programm zu benutzen, führt der Decker die Handlung Datenbombe Legen (SR5, S. 236) durch. Wenn die Handlung gelingt, kann er eine Anzahl von Handlungen festlegen, die mit dieser Datei durchgeführt werden dürfen, bis die Datenbombe hochgeht. Er kann außerdem festlegen, ob die Datenbombe Matrixschaden verursachen oder nur die Datei löschen soll. Auch ein Datenzündsatz kann wie eine normale Datenbombe mit einer Probe auf Matrixwahrnehmung entdeckt und mit der Handlung Datenbombe Entschärfen (SR5, S. 235) entschärft werden. Datenzündsätze sind schwer zu entdecken. Für Zwecke des Widerstands gegen Proben auf Matrixwahrnehmung gelten sie als Geräte mit Gerätestufe 3 und einem Schleicher-Attribut in Höhe von [Verbleibende Handlungen bis zur Auslösung – 1].
Editieren;Standardprogramme;Hilfsprogramme & System;Dieses Programm hat ein smartes Interface, das sich dem Stil des Charakters anpasst und ihm sogar Vorschläge machen kann, und macht dadurch das Editieren von Dateien leichter. Das Limit Datenverarbeitung des Charakters steigt um 2 für alle Editierenproben, die er ablegt, solange das Programm läuft
Ekelpaket;Hackingprogramme;Offensiv & Kampf;Dieses Programm erzeugt eine Überlagerung aus kaltem Sim, die das Ziel einer Handlung Datenspike trifft und einen überraschenden, ekelhaften Sinneseindruck verursacht, sobald auch nur ein Kästchen Matrixschaden verursacht wird. Das Programm wirkt gegen Technomancer und Decker, die mit kaltem oder heißem Sim unterwegs sind, aber nicht gegen Benutzer der Matrix in der AR, gegen IC oder Agenten. Das Programm sorgt dafür, dass durch die Handlung Datenspike kein echter Schaden verursacht wird, sondern das Ziel stattdessen 3 Kampfrunden lang unter Übelkeit (SR5, S. 410) leidet. Beliebte Sinneseindrücke, mit denen beim Opfer Übelkeit hervorgerufen werden soll, sind zum Beispiel der Gestank voller Windeln oder das Gefühl nach einem Tritt in den Unterleib.
Entschlüsselung;Hackingprogramme;Deck-Limits;Diese Analyse-Algorithmen verleihen dem Charakter einen Bonus von +1 auf das Attribut Angriff.
Exterminator;Hackingprogramme;Heimlichkeit & Infiltration;Ein sehr mächtiges Datenlöschprogramm, das regelmäßige Updates braucht, weil die Technologie der Datenrettung immer weiter fortschreitet. Dieses upgegradete und höchst illegale Programm soll eine Datei so nachhaltig zerstören, dass niemand sie wiederherstellen kann. Wenn man damit eine Datei durch die Handlung Datei Editieren (SR5, S. 235) löscht, sorgt das Programm dafür, dass niemand diese Datei aus der Matrix wiederherstellen kann. Falls dabei durch die Vergleichende Probe Overwatch-Wert entsteht, wird dieser Wert verdoppelt. Offline-Backups und Resonanzräume sind die einzige Möglichkeit, die Datei wiederherzustellen. Exterminator hat eine Verfügbarkeit von 12V.
Fessel;Hackingprogramme;Offensiv & Kampf;Wenn der Charakter an einer Persona Schaden verursacht, wird diese Persona mit einer Linksperre belegt, bis er das Programm beendet oder sich der Gegner erfolgreich ausstöpselt.
Gabel;Hackingprogramme;Hilfsprogramme & System;Der Charakter kann mit diesem Programm eine einzelne Matrixhandlung gegen zwei Ziele gleichzeitig durchführen. Er legt nur eine Probe ab, die von allen Modifikatoren der beiden Ziele kumulativ beeinflusst wird. Jedes Ziel verteidigt sich mit seinem eigenen Würfelpool. Die Auswirkungen der Handlung des Charakters werden für jedes Ziel separat bestimmt.
Hammer;Hackingprogramme;Offensiv & Kampf;Immer wenn der Charakter mit einer Handlung Matrixschaden verursacht, erhöht ihn dieses Offensivprogramm um +2. Das betrifft aber nicht den Matrixschaden, den Angreifer durch gescheiterte Angriffshandlungen erleiden.
Irreführung;Hackingprogramme;Defensiv & Schutz;Dieses Programm schickt den Matrixverkehr des Charakters über komplizierte Routen, wodurch er einen Würfelpoolbonus von +2 zur Verteidigung gegen die Handlung Icon Aufspüren erhält. Außerdem erfährt ein Halbgott, wenn er auf den Charakter fokussiert, seinen physischen Standort nicht, obwohl der Charakter immer noch von allen anderen Auswirkungen der Fokussierung getroffen wird.
Katzenpfote;Hackingprogramme;Offensiv & Kampf;Ein unschädliches Angriffsprogramm, das den User ablenken statt sein Gerät beschädigen soll. Es ist nützlich, indem es den User davon abhält, Matrixhandlungen durchzuführen, ohne dafür sein Gerät lahmlegen zu müssen. Katzenpfote füllt das AR-Display oder die VR-Erfahrung des Opfers mit lästigen Fehlermeldungen, Spam, Pop-ups und anderem ablenkenden Zeug. Mit einer erfolgreichen Handlung Datenspike (SR5, S. 236) erzeugt das Programm, statt Schaden zu verursachen, einen Würfelpoolmalus in Höhe von –(2 plus Anzahl der Marken des Angreifers auf dem Ziel). Wenn sich die Anzahl der Marken nach dem Einsatz von Katzenpfote verändert, verändert sich der Malus ebenfalls
Konfigurator;Standardprogramme;Hilfsprogramme & System;"Wenn der Charakter dieses Programm laufen lässt, wählt er eine Konfiguration für sein Deck aus, die sich von der gerade eingesetzten unterscheidet. Diese alternative Konfiguration wird vom Programm gespeichert. Beim nächsten Mal, wenn der Charakter sein Deck umkonfiguriert, kann er diese alternative Konfiguration auswählen, statt nur zwei Attribute oder Programme zu vertauschen, selbst wenn das bedeutet, dass das Programm Konfigurator dadurch beendet wird. Die gespeicherte Konfiguration wird dadurch nicht verändert; er kann sie später erneut aufrufen, sofern das Programm Konfigurator läuft."
Mäuschen;Hackingprogramme;Heimlichkeit & Infiltration;"Wer wollte nicht mal Mäuschen spielen, um den Gesichtsausdruck von Leuten zu sehen, wenn ihr Leben vor dem geistigen Auge vorüberzieht? GOD will natürlich Langzeitüberwachung durch Unbefugte verhindern, aber dieses Programm gleicht die Chancen ein wenig aus. Wenn es läuft und der Decker keine anderen Matrixhandlungen als Matrixwahrnehmung durchführt, steigt sein Overwatch-Wert nur um 1W6 pro halbe Stunde (was wie üblich vom Spielleiter geheim gewürfelt wird). Um das Programm zu aktivieren, ist eine erfolgreiche Handlung Verstecken nötig; Mäuschen hilft dem Decker nicht dagegen, von einem anderen Icon entdeckt zu werden."
Panzer;Hackingprogramme;Defensiv & Schutz;Dieses Programm wirkt zusammen mit der Firmware des Charakters als zweite Firewall. Der Charakter erhält einen Würfelpoolbonus von +2 für den Widerstand gegen Matrixschaden.
Schmöker;Standardprogramme;Hilfsprogramme & System;Diese praktische Suchmaschine halbiert den Grundzeitraum für die Handlung Matrixsuche.
Schredder;Standardprogramme;Hilfsprogramme & System;Schredder ist dazu gedacht, beim Löschen von Dateien und von deren Wiederherstellungsoptionen zu helfen, die in einem Host oder dem Gitter, auf dem ein Host liegt, vorhanden sein können. Das Programm erhöht das Attribut Datenverarbeitung eines Cyberdecks um 2, wenn es um das Löschen einer Datei mit der Handlung Datei Editieren geht. Dazu überschreibt das Programm die betroffene Datei mehrfach mit Datenmüll, damit sie schwerer wiederhergestellt werden kann. Dieses praktische Sicherheitsprogramm ist für alle Arten von Benutzern legal. Das Wiederherstellen einer Datei, die von Schredder oder einer Datenbombe zerstört wurde, benötigt ununterbrochenen Zugang zu dem Host oder Gitter, auf dem sie lag, und eine erfolgreiche Ausgedehnte Probe auf Computer + Logik [Datenverarbeitung] (18, 1 Woche). Das erklärt, warum Offline-Backups so beliebt sind.
Schild;Hackingprogramme;Defensiv & Schutz;Dieses Programm sucht nach Schwachstellen des Charakters, um diese zu schützen. Er erleidet weniger zusätzlichen Schaden durch Marken des Angreifers (-1 pro Marke).
Schutzschirm;Hackingprogramme;Defensiv & Schutz;Dieses Programm verleiht dem Charakter mit seinen Filter-Algorithmen einen Würfelpoolbonus von +1 zum Widerstand gegen Matrixschaden und Schaden durch Biofeedback. Dieser Bonus wirkt mit ähnlichen Boni anderer Programme kumulativ.
Signalreiniger;Standardprogramme;Hilfsprogramme & System;Dieses Programm analysiert Hintergrundrauschen und eingehende Signale und verleiht dem Charakter dadurch Rauschunterdrückung 2.
Splitterschutz;Hackingprogramme;Defensiv & Schutz;Dieses Programm errichtet Barrieren zwischen dem Charakter und einer Datenbombe, wodurch er einen Würfelpoolbonus von +4 zum Widerstand gegen den Schaden durch Datenbomben erhält
Sprungtuch;Hackingprogramme;Defensiv & Schutz;Genauso wie Decker die Vorteile darin erkannt haben, ein Gerät zum Neustart zu zwingen, haben sie auch erkannt, dass sie ihre eigenen Geräte davor schützen sollten. Dieses Programm unterstützt die Betriebssysteme des Decks und aller mit ihm verbundenen Geräte im PAN mit zusätzlichem Sicherheitscode, wodurch sie einem erzwungenen Neustart besser widerstehen können. Dadurch steigt das Attribut Firewall der Geräte bei der Vergleichenden Probe gegen die Handlung Gerät Neu Starten um 1.
Suche;Standardprogramme;Hilfsprogramme & System;Dieses Programm passt die Suchalgorithmen eines Decks an die Ikonographie eines bestimmten Hosts an, was die Suchergebnisse des Deckers bei einer Matrixsuche in diesem Host verbessert. Es ist bei Johnsons recht beliebt. Sie geben Runnern gerne vorkonfigurierte Kopien mit, die sich nach der Benutzung selbst zerstören und nur einmal lauffähig sind. Dieses Programm gewährt einen Würfelpoolbonus von +2 bei einer Matrixsuche nach bestimmten Daten, die in einem bestimmten Host liegen. Wenn der Decker nach etwas sucht, das nicht aus diesem Host stammt, gilt dieser Bonus nicht.
Superbombe;Hackingprogramme;Offensiv & Kampf;Dieses Programm unterstützt die Programmierung von Datenbomben. Die Datenbomben des Charakters erhalten eine um 1 höhere Stufe, wenn er sie legt, solange das Programm läuft
Tarnkappe;Hackingprogramme;Deck-Limits;Dieses schlaue Programm verleiht dem Charakter einen Bonus von +1 auf das Attribut Schleicher.
Teerball;Hackingprogramme;Offensiv & Kampf;Ein mächtiges, aber unpräzises Angriffsprogramm, das ähnlich wie die klassischen IC mit „Teer“ im Namen aufgebaut ist. Es erhöht bei der Handlung Programm Abstürzen Lassen (SR5, S. 239) (und nur dabei) das Attribut Angriff um 2 und den Würfelpool um 1. Die unpräzisen Angriffsroutinen sorgen aber dafür, dass ein zufälliges Programm abstürzt, der Angreifer kann also kein bestimmtes Programm auswählen.
Toolbox;Standardprogramme;Deck-Limits;Dieses Programm zur Speicherverwaltung verleiht dem Charakter einen Bonus von +1 auf das Attribut Datenverarbeitung.
Tramper;Hackingprogramme;Heimlichkeit & Infiltration;Es gibt bestimmte Bereiche in der Matrix, in die man andere mitnehmen kann – und in denen man sicher nicht alleine sein will. Mit diesem Programm kann ein Decker seine Freunde in Fundamente und UV-Hosts mitnehmen.
Überfall;Hackingprogramme;Offensiv & Kampf;Dieses Programm verfolgt die Marken des Charakters aktiv und erhöht den zusätzlichen Schaden um +1 pro Marke.
Umlackieren;Hackingprogramme;Heimlichkeit & Infiltration;Dieses Programm gibt dem Icon einer Persona eine neue Oberfläche, was dabei hilft, Marken loszuwerden. Damit kann der Decker eher darauf vertrauen, dass sein Deck nicht von außen beeinflusst wird. Das Programm erhöht bei der Handlung Marke Löschen das Attribut Angriff um 2.
Verschleiern;Hackingprogramme;Heimlichkeit & Infiltration;"Dieses Programm versendet große Mengen widersprüchlicher Standortinformationen, damit der Decker in der Fleischwelt schwerer zu finden ist. Es erhöht das Attribut Schleicher des Cyberdecks um 1 bis 5 (nach Wahl des Deckers). Dadurch entsteht allerdings Rauschen in derselben Höhe, das sich auf alle Proben auswirkt, die mit dem Deck abgelegt werden. Das Rauschen wirkt sich auch auf Proben mit der Handlung Icon Aufspüren aus, mit denen jemand versucht, das Deck zu finden. Das Programm wirkt nicht gegen die Fokussierung (SR5, S. 228); GOD und die Halbgötter lassen sich nicht so einfach abschütteln"
Verschlüsselung;Standardprogramme;Deck-Limits;Dieses Programm verleiht dem Charakter einen Bonus von +1 auf sein Firewallattribut.
Verwandlung;Hackingprogramme;Heimlichkeit & Infiltration;Dieses Programm überbrückt die Matrixprotokolle für Icons. Während es läuft, kann das Icon des Charakters durch die Handlung Icon Verändern beliebig gestaltet werden. In der Matrix könnte ein Hammer-Programm wie eine Musikdatei aussehen, eine Ares Predator wie ein Credstick und die Persona des Charakters wie ein Mitsubishi Nightsky. Andere Personas können die verwandelten Icons als das erkennen, was sie sind. Dazu muss diese Persona aber zumindest einen Verdacht haben, der es rechtfertigt, die dazugehörige Matrixwahrnehmungsprobe (S. 239) abzulegen.
Virtuelle Maschine;Standardprogramme;Hilfsprogramme & System;Dieses Programm schafft einen virtuellen Speicher im Deck des Charakters, was mehr Programme gleichzeitig laufen lässt, aber die Systemstabilität beeinträchtigt. Der Charakter kann zwei Programme mehr auf seinem Deck laufen lassen. Allerdings erleidet seine Persona jedes Mal, wenn sie Matrixschaden erhält, 1 Kästchen Matrixschaden zusätzlich (dem nicht widerstanden werden kann).
Wolkenlos;Hackingprogramme;Hilfsprogramme & System;Nicht glücklich damit, dass die eigenen Daten nur in der Cloud gespeichert sind? Dieses Programm verwendet alten Code aus früheren Inkarnationen der Matrix, um Daten ausschließlich auf physischen Medien zu speichern. Neben dem Speichern einer Datei erlaubt das Programm dem Benutzer, mit einer erfolgreichen Handlung Datei Editieren eine Datei aus der Matrix in den Speicher eines einzelnen Gerätes zu verschieben. Dies wird als Vergleichende Probe nach den normalen Regeln für Datei Editieren (SR5, S. 235) durchgeführt. Das Öffentliche Gitter hat bei dieser Probe einen Würfelpool von 6, lokale und nationale Gitter einen Würfelpool von 8, und die globalen Gitter einen Würfelpool von 10.
